index_number,course_code,grade
BCITD22003,MATHEMATICS,A+
BCITD22003,ENGLISH,B
BCITD22003,VISUAL BASIC,C
BCITD22003,PYTHON,B+
BCITD22003,INFO.TECH,C+
BCITN22011,MATHEMATICS,A+
BCITN22011,ENGLISH,A
BCITN22011,VISUAL BASIC,C
BCITN22011,PYTHON,C+
BCITN22011,INFO.TECH,C
BCICT22297,MATHEMATICS,A+
BCICT22297,ENGLISH,D+
BCICT22297,VISUAL BASIC,B
BCICT22297,PYTHON,C+
BCICT22297,INFO.TECH,A
BCICT22331,MATHEMATICS,A+
BCICT22331,ENGLISH,B+
BCICT22331,VISUAL BASIC,B
BCICT22331,PYTHON,C+
BCICT22331,INFO.TECH,A
